Index,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,MinPriceUSD,MaxPriceUSD,Country,AveragePrice
2165,essência,"Sas street 17, Budapest, 1051, Hungary",Budapest,5500,41900,HUF,"Hungarian, Portuguese",19.0521322,47.5010955,36706000315,https://guide.michelin.com/en/central-hungary/budapest/restaurant/essencia,https://essenciarestaurant.hu/en/homepage/,1 Star,"American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card",13.41,102.15,Hungary,57.78
1959,Materia,"via Cinque Giornate 32, Cernobbio, 22012, Italy",Cernobbio,19,135,EUR,Creative,9.0719729,45.8383402,3.9E+11,https://guide.michelin.com/en/lombardia/cernobbio/restaurant/materia,http://www.ristorantemateria.it/,1 Star,"Air conditioning,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Visa credit card,Wheelchair access",19.01,135.09,Italy,77.05
2170,Costes Downtown,"Vigyázó Ferenc utca 5, Budapest, 1051, Hungary",Budapest,7900,31500,HUF,Modern Cuisine,19.0486004,47.5011009,3619201015,https://guide.michelin.com/en/central-hungary/budapest/restaurant/costes-downtown,https://costesdowntown.hu/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access",19.26,76.79,Hungary,48.025
1831,Gardenia,"corso Torino 9, Caluso, 10014, Italy",Caluso,20,110,EUR,Modern Cuisine,7.8896044,45.3034572,3.9E+11,https://guide.michelin.com/en/piemonte/caluso/restaurant/gardenia,https://www.gardeniacaluso.com/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access",20.01,110.08,Italy,65.045
936,La Robe,"3 place Reveillère-Lepeaux, Montaigu, 85600, France",Montaigu,24,80,EUR,Modern Cuisine,-1.31311,46.97566,33251477927,https://guide.michelin.com/en/pays-de-la-loire/montaigu/restaurant/la-robe,https://www.restaurant-la-robe.com/,1 Star,"Credit card / Debit card accepted,Mastercard credit card,Visa credit card",24.02,80.06,France,52.04
2035,Zappatori,"corso Torino 34, Pinerolo, 10064, Italy",Pinerolo,25,90,EUR,Modern Cuisine,7.3320196,44.8847909,3.9E+11,https://guide.michelin.com/en/piemonte/pinerolo/restaurant/zappatori,https://www.trattoriazappatori.it/,1 Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Visa credit card",25.02,90.06,Italy,57.54
995,Moulin de la Tardoire,"Lieu-dit La Forge, Montbron, 16220, France",Montbron,26,69,EUR,Modern Cuisine,0.51396,45.67682,33545664146,https://guide.michelin.com/en/nouvelle-aquitaine/montbron/restaurant/moulin-de-la-tardoire,https://www.moulindelatardoire.fr/,1 Star,"Air conditioning,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Terrace,Visa credit card,Wheelchair access",26.02,69.05,France,47.535
915,Les Clefs d'Argent,"333 avenue des Martyrs-de-la-Résistance, Mont-de-Marsan, 40000, France",Mont-de-Marsan,26,88,EUR,Creative,-0.5127259,43.8871612,33558061645,https://guide.michelin.com/en/nouvelle-aquitaine/mont-de-marsan/restaurant/les-clefs-d-argent,https://www.clefs-dargent.com/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access",26.02,88.06,France,57.04
857,Le France,"8 place Maxime-Cupillard, Villers-le-Lac, 25130, France",Villers-le-Lac,26,94,EUR,Modern Cuisine,6.6704063,47.0594007,33381680006,https://guide.michelin.com/en/bourgogne-franche-comte/villers-le-lac/restaurant/le-france,https://hotel-restaurant-lefrance.com/,1 Star,"American Express credit card,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access",26.02,94.07,France,60.045
1131,Le Mascaret,"1 rue de Bas, Blainville-sur-Mer, 50560, France",Blainville-sur-Mer,26,106,EUR,Modern Cuisine,-1.583558,49.0671674,33233458609,https://guide.michelin.com/en/normandie/blainville-sur-mer/restaurant/le-mascaret,https://lemascaret.fr/,1 Star,"Car park,Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access",26.02,106.07,France,66.045
1421,Schloss Filseck,"Filseck 1, Uhingen, 73066, Germany",Uhingen,26,160,EUR,"Mediterranean Cuisine, Market Cuisine",9.6048158,48.7000691,49716128380,https://guide.michelin.com/en/baden-wurttemberg/uhingen/restaurant/schloss-filseck,https://www.restaurant-auf-schloss-filseck.de/,1 Star,"American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Great view,Mastercard credit card,Terrace,Visa credit card",26.02,160.11,Germany,93.065
2157,Field,"U Milosrdných 12, Prague, 110 00, Czech Republic",Prague,650,3200,CZK,Modern Cuisine,14.4220733,50.0918359,4.2E+11,https://guide.michelin.com/en/prague/prague/restaurant/field,https://www.fieldrestaurant.cz/en/,1 Star,"Air conditioning,American Express credit card,Booking essential,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Restaurant offering vegetarian menus,Visa credit card",26.4,129.99,Czech Republic,78.195
597,Philippe Meyers,"rue Doyen Van Belle 6, Braine-l'Alleud, 1420, Belgium",Braine-l'Alleud,27,78,EUR,Modern French,4.3700555,50.6823016,3223848318,https://guide.michelin.com/en/brabant-wallon/braine-l-alleud/restaurant/philippe-meyers,https://www.philippe-meyers.be/,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card",27.02,78.05,Belgium,52.535
649,Lettres Gourmandes,"route de Mons 52, Montignies-Saint-Christophe, 6560, Belgium",Montignies-Saint-Christophe,27,80,EUR,"Creative French, Modern Cuisine",4.1833145,50.2854392,3271555622,https://guide.michelin.com/en/hainaut/montignies-saint-christophe/restaurant/lettres-gourmandes,https://www.lettresgourmandes.be/,1 Star,"Air conditioning,Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",27.02,80.06,Belgium,53.54
1771,Coto de Quevedo,"Paraje Tejeras Viejas, Torre de Juan Abad, 13344, Spain",Torre de Juan Abad,27,85,EUR,Traditional Cuisine,-3.0491664,38.5799538,34649842901,https://guide.michelin.com/en/castilla-la-mancha/torre-de-juan-abad/restaurant/coto-de-quevedo,https://hotelcotodequevedo.com/,1 Star,"Air conditioning,Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access",27.02,85.06,Spain,56.04
1044,Sources,"1 cours de la Bôve, Lorient, 56100, France",Lorient,27,88,EUR,Modern Cuisine,-3.3598826,47.7458562,33297787625,https://guide.michelin.com/en/bretagne/lorient/restaurant/sources,https://restaurant-sources.com/,1 Star,"Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access",27.02,88.06,France,57.54
1174,Chez Michèle,"57 rue Principale, Languimberg, 57810, France",Languimberg,27,150,EUR,Modern Cuisine,6.8589293,48.7459594,33387039225,https://guide.michelin.com/en/grand-est/languimberg/restaurant/chez-michele,https://www.chezmichele.fr/fr/,1 Star,"Credit card / Debit card accepted,Mastercard credit card,Restaurant offering vegetarian menus,Terrace,Visa credit card,Wheelchair access",27.02,150.1,France,88.56
1808,Silabario,"Príncipe 44, Vigo, 36202, Spain",Vigo,27,150,EUR,Modern Cuisine,-8.7220674,42.2365448,34986077363,https://guide.michelin.com/en/galicia/vigo/restaurant/silabario,http://www.silabario.gal,1 Star,"Air conditioning,American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access",27.02,150.1,Spain,88.56
849,La Grange de Belle-Église,"28 boulevard René-Aimé-Lagabrielle, Belle-Église, 60540, France",Belle-Église,27,172,EUR,Classic Cuisine,2.2145117,49.1922098,33344084900,https://guide.michelin.com/en/hauts-de-france/belle-glise/restaurant/la-grange-de-belle-eglise,https://www.lagrangedebelleeglise.fr/,1 Star,"Air conditioning,Car park,Credit card / Debit card accepted,Garden or park,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",27.02,172.12,France,99.57
836,La Galinette,"23 rue Jean-Payra, Perpignan, 66000, France",Perpignan,28,65,EUR,Creative,2.8932762,42.7025096,33468350090,https://guide.michelin.com/en/occitanie/perpignan/restaurant/la-galinette,https://www.restaurant-galinette.com/,1 Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",28.02,65.05,France,46.535
980,Choko Ona,"155 rue Xerrendako-Bidea, Espelette, 64250, France",Espelette,28,72,EUR,"Modern Cuisine, Creative",-1.4447745,43.3416,33559157165,https://guide.michelin.com/en/nouvelle-aquitaine/espelette/restaurant/choko-ona,https://choko-ona.fr/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card,Wheelchair access",28.02,72.05,France,50.035
1132,Nature,"20 place de Saint-Vaast, Armentières, 59280, France",Armentières,28,72,EUR,Modern Cuisine,2.8835219,50.686583,33320879305,https://guide.michelin.com/en/hauts-de-france/armentires/restaurant/nature,https://www.restaurant-nature.com/fr/,1 Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Visa credit card",28.02,72.05,France,50.035
907,Maison Medard,"19 place des Tilleuls, Boulleret, 18240, France",Boulleret,28,75,EUR,"Modern Cuisine, Creative",2.874288,47.4239448,33248723962,https://guide.michelin.com/en/centre-val-de-loire/boulleret/restaurant/l-ardoise-du-marche,https://www.maisonmedard.com,1 Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access",28.02,75.05,France,51.535
